,coef__df_no_covid_2019,coef__df_pre_covid,coef__df_during_covid,coef__df_post_covid
Intercept,-1.068331531,-1.628223127,-1.962049756,-2.807632729
C(user_id)[T.83847798],-1.282858006,-1.875857746,-0.497210198,-0.074567875
C(user_id)[T.96777538],1.422694699,2.371210602,2.001507157,1.764148748
C(user_id)[T.117516591],2.707408027,3.256352337,3.754982242,4.07190574
C(user_id)[T.151107478],-0.819509949,0.860305381,1.142944098,1.062278567
C(user_id)[T.161737679],2.221770047,3.098469939,2.580325834,2.54455533
C(user_id)[T.165799592],2.551011258,3.366667736,3.757200912,4.060667857
C(user_id)[T.165947589],1.285242596,1.897307252,2.738760251,2.465425361
C(user_id)[T.169103176],0.710411928,1.334587433,1.386086377,2.392669441
C(user_id)[T.177445817],-1.3860307,0.112971897,1.045741799,1.349516797
C(user_id)[T.180946960],1.178744139,1.86654546,1.820358307,1.372330416
C(user_id)[T.186869602],1.471464969,2.156345605,1.909226011,1.911227871
C(user_id)[T.259286491],0.972904483,1.124298811,1.494146604,1.62886647
C(user_id)[T.277027525],1.800095581,2.264279533,2.784228287,2.664488734
C(user_id)[T.288736738],1.747454952,2.731269084,2.914461365,2.514628398
C(user_id)[T.306211089],-1.752088346,-1.580801055,0.14999291,0.591575399
C(user_id)[T.307999656],2.651787653,3.358023104,2.909674471,3.30665629
C(user_id)[T.329081947],-0.689010134,-0.535808267,0.111556179,0.321444076
C(user_id)[T.329228410],1.572920603,2.886451561,1.645341162,1.867884033
C(user_id)[T.392931443],2.469548304,2.573032328,3.045635775,2.639972007
C(user_id)[T.405162472],1.492895016,2.230504843,1.820798479,1.165148713
C(user_id)[T.432388920],1.147299064,1.809107338,2.436276213,2.267805614
C(user_id)[T.446714594],1.186946131,1.42709682,2.078743669,1.994510798
C(user_id)[T.447920327],-1.397996386,-0.100925408,-0.131151659,-0.481138386
C(user_id)[T.452240595],0.336432485,0.860963017,1.874561095,1.544542387
C(user_id)[T.462104555],1.052077779,1.600418747,1.461849703,1.382904362
C(user_id)[T.490585631],3.371869411,4.413027057,4.626317045,4.661628222
C(user_id)[T.514861747],-1.410150941,-2.389689964,0.517397802,0.936983888
C(user_id)[T.526536707],1.421138299,2.290445259,2.466062457,2.125783777
C(user_id)[T.569248206],-1.139405387,-1.381020226,0.713576641,0.681752377
C(user_id)[T.595570681],1.201222963,1.582179085,1.932329951,1.971602094
C(user_id)[T.606754384],-0.110403751,0.531994719,1.379359549,-0.541591881
C(user_id)[T.703918760],1.274825891,1.598582745,2.704529741,2.488005672
C(user_id)[T.749393952],1.287519023,1.244753019,1.92825181,2.490241106
C(user_id)[T.805853732],2.151373483,2.85193425,2.940156006,1.731017547
C(user_id)[T.815647170],-0.122673665,0.55144916,0.634123781,0.632632969
C(user_id)[T.823394227],0.842881874,2.291397713,2.582843716,2.74001612
C(user_id)[T.1230053246],1.488329697,1.695862177,2.429803602,2.760670319
C(user_id)[T.1244441016],1.924771678,1.797028211,2.700781017,2.983026005
C(user_id)[T.1375000946],1.416682715,1.945825789,2.87211808,2.550026317
C(user_id)[T.1483213278],2.087506462,3.832727374,3.328979063,3.244692295
C(user_id)[T.1579129819],2.247877117,2.5434297,3.112330877,2.794142332
C(user_id)[T.1957147838],2.293982135,3.13211166,3.631909999,3.417837771
C(user_id)[T.2303012820],0.303921099,0.104844816,0.946450137,0.325159722
C(user_id)[T.2458878782],1.475096615,1.710623642,2.550355251,2.230121942
C(user_id)[T.2558956410],0.837810117,-0.717249798,1.072070279,0.727415911
C(user_id)[T.2785876453],0.114073338,1.303172346,1.461558108,1.039657221
C(user_id)[T.2822275694],1.978324135,2.726156544,3.636954689,3.887152824
C(user_id)[T.2967951029],0.555010515,0.422195197,1.695191577,1.564019504
C(user_id)[T.3044250743],-1.066243777,-0.798151578,0.343802566,0.346925431
C(user_id)[T.3132267137],1.255032234,1.245865514,2.693184576,2.217679792
C(user_id)[T.3354930495],0.593342681,1.205453506,0.837487758,0.876446498
C(user_id)[T.3410437696],0.755782162,3.433269688,1.90300845,3.023456655
C(user_id)[T.3610121554],-0.867445899,0.275126419,1.982638309,3.304261563
C(user_id)[T.4377005313],1.807925974,2.480094542,3.1151231,3.25998957
C(user_id)[T.4431557116],2.163982142,2.489096857,2.628640268,2.225296324
C(user_id)[T.4481556976],0.264549633,1.625287404,0.607489747,1.52112323
C(user_id)[T.4482821783],2.072651371,2.317801594,2.906598995,4.125373555
C(user_id)[T.4486240575],0.864825063,0.170035906,2.789617622,2.318875571
C(user_id)[T.4517948003],1.606608822,1.943644877,2.679742546,2.586897913
C(user_id)[T.4578751817],0.487341662,0.887178237,-1.050796586,1.583085011
C(user_id)[T.4579311973],2.461573332,2.580444155,2.846539477,3.546416149
C(user_id)[T.4643059395],0.889941673,1.066659343,2.61205792,2.36442329
C(user_id)[T.4794733634],1.29682035,1.938993669,1.795013023,2.015543273
C(user_id)[T.4870764015],-0.196366414,-0.152025043,-0.621447348,-0.448371844
C(user_id)[T.4870770795],-0.393932416,-0.10980113,-0.773546366,0.51764762
C(user_id)[T.4876042407],-1.232395719,-0.700280163,0.252051769,0.896875466
C(user_id)[T.4882012859],-0.826731181,-1.691932182,-0.847116622,-1.907050521
C(user_id)[T.703329759745417216],-0.580703833,-0.787975589,-0.199848909,-1.597055937
C(user_id)[T.722811840523165698],0.413359182,1.013061576,1.463980149,0.869878481
C(user_id)[T.747787930714914816],2.07671084,3.065380555,3.060867005,3.121948784
C(user_id)[T.754726151923400704],-2.026625606,-1.78381576,-0.566828502,1.235323262
C(user_id)[T.809459193493143552],1.72870432,2.011009357,1.702489416,1.146313409
C(user_id)[T.816640550547914752],0.715027799,0.779871482,1.314249429,0.665126223
C(user_id)[T.908657174838153216],-1.72886981,-0.630243648,0.562104504,1.120367575
C(user_id)[T.1022552829662294019],0.905604865,1.774003714,1.935147441,2.324817603
C(user_id)[T.1072844475964243970],-1.245065598,-0.59098578,0.579330267,-0.330144143
C(user_id)[T.1204765537521340417],-0.943240129,-1.080081051,-1.336275698,3.548758393
C(user_id)[T.516657502],,-39.16925935,-1.37421672,-0.647229995
word_length,0.118311751,0.21278505,0.093406935,0.338283517
hashtag_count,,0.035787746,0.069819751,-0.001780084
mentions_count,,-0.084539408,-0.08289777,-0.041672179
url_count,,-0.10077084,-0.08682589,-0.161727139
reply_count,,,0.027051083,0.022398741
favorite_count,0.022766559,,0.013587031,0.004496336
support,-0.030473501,-0.122856914,-0.078229192,-0.207749149
knowledge,0.048996649,0.082637173,0.115421465,0.030383191
conflict,0.066035252,0.126118512,0.161686947,0.221752466
power,0.025169583,-0.076769555,0.047589578,-0.0369081
similarity,0.070696526,0.047688288,-0.034479613,-0.054916912
fun,-0.152606362,-0.302864654,-0.161948918,-0.139221338
status,-0.072450549,-0.472487569,-0.108386475,-0.039202252
trust,-0.040750095,0.058282061,-0.018381714,-0.062626516
identity,-0.023088446,-0.17301746,-0.120691064,-0.139974039
reply_count:support,-0.036341789,,-0.00618267,
reply_count:knowledge,0.014367371,,0.00424306,
reply_count:conflict,-0.063057275,,-0.032064004,
reply_count:power,-0.000711095,,-0.001871575,
reply_count:similarity,-0.019823311,,-0.003980316,
reply_count:fun,-0.033768147,,-0.02332651,
reply_count:status,-0.033985423,,0.004001809,
reply_count:trust,0.022690479,,0.011656351,
reply_count:identity,0.062773879,,0.022587744,
favorite_count:support,,0.000925162,,0.00486324
favorite_count:knowledge,,0.003166107,,4.80E-05
favorite_count:conflict,,0.003269784,,-0.003314434
favorite_count:power,,0.00430797,,1.58E-05
favorite_count:similarity,,0.001525112,,-0.000490847
favorite_count:fun,,0.011776081,,0.000980841
favorite_count:status,,0.017927159,,0.00039943
favorite_count:trust,,-0.000575954,,0.003189441
favorite_count:identity,,0.010119082,,0.001203736
